Entidad federativa,N.Localidades
Aguascalientes,588
Baja California,651
Baja California Sur,318
Campeche,1505
Chiapas,18645
Chihuahua,6472
Coahuila ,528
Colima,171
Distrito Federal,287
Durango,3077
Estado de Mexico,3440
Guanajuato,4721
Guerrero,6937
Hidalgo,3474
Jalisco,4472
Michoacan,7100
Morelos,374
Nayarit,1450
Nuevo Leon,1217
Oaxaca,9679
Puebla,5294
Queretaro,1589
Quintana Roo,789
San Luis Potosi,4842
Sinaloa,2629
Sonora,1375
Tabasco,1543
Tamaulipas,1639
Tlaxcala,373
Veracruz,15135
Yucatan,2182
Zacatecas,1562
