ESTADO,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,anual
Aguascalientes,1.9,4,6.8,9.4,11.6,13.5,14.2,12.7,11.7,8.5,5.4,4.1,8.65
Baja California,7.6,5,9.1,11.1,12.3,16.1,18.8,19,18.6,13.8,8.6,3.5,11.95833333
Baja California Sur,8.9,8.2,11.3,13.1,14.9,18,22.5,22.8,23.2,19.4,14.4,10.7,15.61666667
Campeche,17.1,18.8,20.6,22.6,23.7,22.8,23,22.2,22.8,21.1,19.9,18.2,21.06666667
Chiapas,15.5,16.4,17.4,19.4,21.1,20.1,20.2,19.3,20,18.2,17.1,14.8,18.29166667
Chihuahua,0.7,0.8,7,10.5,12.7,17.8,18.3,17.2,15,9.9,4.2,0.8,9.575
Coahuila,4.9,6.4,12.9,16.6,19.1,20.8,21.7,21.4,19,14.7,9.6,6.1,14.43333333
Colima,14.3,16.3,17,18.6,21.6,22,22.2,21.5,22.5,21.8,19.4,17.3,19.54166667
Distrito Federal,6.7,9,9.1,12.4,14.1,13,12.7,12.7,12.1,9.8,9,6.3,10.575
Durango,1,1.9,6.7,9.1,11.9,15.3,15.7,15,12.8,9.6,4.4,1.7,8.758333333
Estado de Mexico,2.7,4.7,5.2,7.9,10.1,9,9.6,8.8,7.7,5.6,5.4,2.9,6.633333333
Guanajuato,5.2,7.1,8.8,12.2,14.4,14.5,15,13.2,12.3,8.7,6.9,5.6,10.325
Guerrero,15,17,17.7,19.8,21.7,20.8,20,19.2,20.2,18.8,18,15.7,18.65833333
Hidalgo,6.1,7.5,8.1,12,13.9,11.9,13.3,12.4,11.1,8.4,7.5,5.7,9.825
Jalisco,6.4,8.1,10,12.6,14.9,16.7,16.8,15.7,15.3,13.2,10.1,8.4,12.35
Michoacan,5.2,7.6,9.1,15.5,14.4,14.6,15.1,14.3,13.7,11.3,8.6,7.5,11.40833333
Morelos,8.6,11.2,13.1,15.9,16.6,16,16.1,14.8,15.4,12.7,12.1,9.2,13.475
Nayarit,10,10.5,13.3,14.7,18.6,22.2,22.4,21.5,22.9,21.6,16.8,12.9,17.28333333
Nuevo Leon,6.6,8.1,13.9,16.5,20.5,20.8,21.6,21.2,19.7,15.2,10.8,7.4,15.19166667
Oaxaca,14.5,15.9,17,19.4,21.6,20.4,20.4,19.1,19.5,17.3,15.7,13.6,17.86666667
Puebla,6.5,7.7,8.9,11.5,12.9,12.2,13,12.4,12,9.3,8.6,6.7,10.14166667
Queretaro,6,7.1,8.6,12.9,14.8,13.2,14.8,13.5,12,9.7,8,7.4,10.66666667
Quintana Roo,18.1,19.4,21,23.4,24.3,23.3,24.3,23.3,23.7,21.4,20.2,19.3,21.80833333
San Luis Potosi,10.2,9.6,15.2,18.5,20.3,19.3,20.2,19.5,18.3,14.9,12.9,8.8,15.64166667
Sinaloa,8.3,7.8,11.9,14.2,17.2,23.2,23.8,23,24,20.1,13.9,8.8,16.35
Sonora,4.5,4.1,8.8,11.9,13.7,19.8,22.8,22.3,21.1,14.7,8.7,4.3,13.05833333
Tabasco,18.1,18.8,20.3,22.4,23.7,22.2,22.4,21.9,22.1,20.9,19.6,16.3,20.725
Tamaulipas,10.6,11,16.7,20.3,22.4,22.7,23.3,23,22,17.5,14.2,11.5,17.93333333
Tlaxcala,1.6,3.7,3.7,7.1,8.8,8.1,9.5,8.6,8.5,5.3,4.5,2.3,5.975
Veracruz,14.2,14.1,16.3,19.9,21,20.1,20.2,19.9,19.4,17.1,15.7,13.6,17.625
Yucatan,15.4,17.1,18.3,20.7,21.9,22.1,22.4,21.5,22.2,19.9,18.4,17.1,19.75
Zacatecas,1.1,3.2,6.5,8.7,11.1,13.2,13.4,12.4,11.4,8.2,4.1,3.1,8.033333333
