Estado,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Nacional,10544735,12514372,13385235,14399103,14466887,13476783,14153953,15605792,16441986,17391847,18712988,16230006,17712001,19690876,18573574,19960422,21530908,21999722
Aguascalientes,172332,186116,180657,187622,187596,193901,199651,207328,240747,244968,253854,266092,ND,76354,69095,296583,322696,336710
Baja California,413365,454423,523528,537401,550219,562152,582619,616422,670710,712473,755296,853608,847167,939595,996935,1032059,1063677,1087650
Baja California Sur,87114,90440,93926,97820,101050,107238,112351,117221,121639,125335,122626,129510,107306,129421,191782,121134,115812,187528
Campeche,101385,101048,109291,120682,121755,128225,130446,134245,135553,137946,155778,159832,166203,174550,174625,184106,186836,194843
Chiapas,228246,328158,381972,392590,414093,414093,414093,434310,441851,452575,460575,467264,469223,474045,486468,493397,0,497968
Chihuahua,580713,601715,614174,646818,671598,699516,736901,780545,835715,849565,852215,943050,987119,1019676,1061388,1093016,1099969,869223
Coahuila,424051,376202,454104,462339,508006,526009,553674,510003,595095,612092,632526,659356,700300,710690,747486,768933,793295,774391
Colima,122141,133449,132768,137801,143667,148968,151079,165929,141551,184080,188319,199878,209662,218768,225674,233943,233962,249623
Distrito Federal,ND,ND,1384395,1631398,1697100,1079989,1112666,1094835,1100999,1108113,1110849,1089888,1155627,1158491,1131086,1122176,1122738,1123522
Durango,265989,286102,299194,315026,330325,348530,306926,306860,318346,328934,328848,330934,353181,228615,368918,230304,456807,465747
Estado de Mexico,1294419,2073371,1524745,1613557,1639607,1700931,1730334,2545429,2634483,2634483,2987469,ND,3082753,3196851,3278419,3272153,3309436,3627058
Guanajuato,520053,540471,578684,607331,623359,641821,667754,712605,728267,767885,812355,842793,875037,905693,937233,966011,987632,1003941
Guerrero,208365,217186,201994,236170,254401,273517,281384,282158,417621,ND,ND,222896,329588,333611,346998,368513,379241,394452
Hidalgo,195947,ND,ND,ND,358924,325723,ND,ND,219892,17481,22771,27342,30676,186377,186577,39437,40197,41318
Jalisco,920863,1187321,1024260,1111344,1086006,1185716,1154696,1230617,1255510,1277073,1316020,1392271,1435511,1417856,1510424,983547,1062992,1081280
Michoacan,425789,427567,424303,15731,124514,133133,135594,ND,ND,162330,166399,178068,183614,190857,199339,208045,214567,220208
Morelos,158824,179987,245645,ND,ND,ND,ND,79266,81483,83392,85283,86193,88099,90069,276542,305202,319585,328896
Nayarit,120152,125408,131976,134079,138148,147733,154386,160359,168337,153904,158059,162053,168734,175534,192421,196766,202120,209381
Nuevo Leon,728480,764191,781986,805005,807312,837428,871838,908696,940010,971790,1008744,1076820,ND,1097641,ND,ND,1318193,1360564
Oaxaca,326532,331855,460404,469702,470078,473793,473793,473793,552855,554048,554072,525973,497148,534170,451447,547119,547127,550881
Puebla,368754,632250,614901,692858,733896,ND,738676,757209,782448,808113,832339,904473,923583,935418,943154,1058197,1066788,1068598
Queretaro,163018,183538,201869,236778,216870,ND,269286,290455,305449,320285,326601,315497,366917,382843,397191,410470,424231,445097
Quintana Roo,111777,114016,125299,137383,146828,160633,174876,ND,205441,225059,248040,266975,290846,296768,328362,347223,368267,384157
San Luis Potosi,266045,276842,295544,298591,345138,326059,ND,ND,337098,337098,421433,447842,483426,523506,551755,573088,569888,590247
Sinaloa,462996,483906,502553,525666,539251,565979,587547,610966,635340,652614,680667,692130,692454,697141,700401,701027,778978,435461
Sonora,ND,460730,465802,483703,496784,ND,ND,526746,578349,596928,1000656,685537,ND,ND,664278,658206,681526,717593
Tabasco,233783,237754,250967,269009,282386,315588,326967,329280,313245,330240,328442,336797,352839,359886,367756,385540,419827,442528
Tamaulipas,528587,542977,ND,619257,ND,677980,699550,655809,ND,709383,789772,797452,652789,856763,898422,923133,922429,1003868
Tlaxcala,ND,ND,ND,173955,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,246369
Veracruz,587061,615114,803400,854708,874630,883205,953782,1030270,1033738,1270509,1335460,1371526,1431045,1504049,ND,1558814,1597512,1614905
Yucatan,301478,321211,324850,326896,328232,338202,341190,342055,342961,447218,461109,478228,509281,539062,548340,537622,576934,589075
Zacatecas,226476,241024,252044,257883,275114,280721,291894,302381,307253,315933,316411,319728,321873,336576,341058,344658,347646,354608
